1766957508.343363 client started (1051671): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1766957508.343420 on Linux 6.8.0-76060800daily20240311-generic #202403110203~1714077665~22.04~4c8e9a0 SMP PREEMPT_DYNAMIC Thu A
1766957508.346187 sending message 105 to peer 0x64a1aaa260f0 (28 bytes)
1766957508.346189 sending message 105 to peer 0x64a1aaa260f0 (35 bytes)
1766957508.346191 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346193 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346194 sending message 105 to peer 0x64a1aaa260f0 (167 bytes)
1766957508.346196 sending message 105 to peer 0x64a1aaa260f0 (46 bytes)
1766957508.346198 sending message 105 to peer 0x64a1aaa260f0 (17 bytes)
1766957508.346200 sending message 105 to peer 0x64a1aaa260f0 (71 bytes)
1766957508.346202 sending message 105 to peer 0x64a1aaa260f0 (15 bytes)
1766957508.346203 sending message 105 to peer 0x64a1aaa260f0 (1519 bytes)
1766957508.346217 sending message 105 to peer 0x64a1aaa260f0 (16 bytes)
1766957508.346219 sending message 105 to peer 0x64a1aaa260f0 (69 bytes)
1766957508.346221 sending message 105 to peer 0x64a1aaa260f0 (14 bytes)
1766957508.346223 sending message 105 to peer 0x64a1aaa260f0 (26 bytes)
1766957508.346225 sending message 105 to peer 0x64a1aaa260f0 (40 bytes)
1766957508.346227 sending message 105 to peer 0x64a1aaa260f0 (17 bytes)
1766957508.346228 sending message 105 to peer 0x64a1aaa260f0 (411 bytes)
1766957508.346230 sending message 105 to peer 0x64a1aaa260f0 (37 bytes)
1766957508.346232 sending message 105 to peer 0x64a1aaa260f0 (19 bytes)
1766957508.346234 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346236 sending message 105 to peer 0x64a1aaa260f0 (18 bytes)
1766957508.346237 sending message 105 to peer 0x64a1aaa260f0 (82 bytes)
1766957508.346239 sending message 105 to peer 0x64a1aaa260f0 (52 bytes)
